code	startYear	startMonth	startDay	startHour	startMinute	endYear	endMonth	endDay	endHour	endMinute	durationHour	durationMinute
Y	1995	1	1	6	15	1995	1	2	23	0	40	45
R	1995	1	4	18	0	1995	1	8	6	0	84	0
Y	1995	1	8	6	0	1995	1	8	23	0	17	0
Y	1995	1	13	6	0	1995	1	15	23	30	65	30
Y	1995	1	24	6	0	1995	1	24	11	30	5	30
Y	1995	1	29	6	30	1995	1	29	18	0	11	30
Y	1995	2	1	0	0	1995	2	2	6	5	30	5
R	1995	2	2	6	5	1995	2	7	6	0	119	55
Y	1995	2	11	6	15	1995	2	12	23	15	41	0
Y	1995	2	26	6	10	1995	2	26	14	15	8	5
R	1995	3	4	6	0	1995	3	5	6	0	24	0
Y	1995	3	5	6	0	1995	3	6	6	5	24	5
Y	1995	3	19	6	0	1995	3	19	23	15	17	15
Y	1995	3	26	0	0	1995	3	26	6	0	6	0
R	1995	3	26	6	0	1995	3	27	6	0	24	0
R	1995	4	5	6	0	1995	4	5	18	15	12	15
Y	1995	10	22	0	0	1995	10	22	23	15	23	15
Y	1995	10	29	0	0	1995	10	29	23	15	23	15
Y	1995	10	31	9	5	1995	10	31	24	0	14	55
R	1995	11	1	0	0	1995	11	2	24	0	48	0
Y	1995	11	4	0	0	1995	11	5	15	30	39	30
R	1995	11	8	6	0	1995	11	9	23	10	41	10
Y	1995	11	11	0	0	1995	11	11	6	0	6	0
R	1995	11	11	6	0	1995	11	12	6	0	24	0
Y	1995	11	12	6	0	1995	11	12	23	30	17	30
R	1995	11	16	6	0	1995	11	17	6	0	24	0
Y	1995	11	18	6	0	1995	11	20	6	0	48	0
R	1995	11	20	6	0	1995	11	22	6	0	48	0
R	1995	11	23	6	0	1995	11	26	23	15	89	15
Y	1995	12	2	6	0	1995	12	4	6	0	48	0
R	1995	12	4	6	0	1995	12	10	6	0	144	0
Y	1995	12	10	6	0	1995	12	10	24	0	18	0
Y	1995	12	23	6	0	1995	12	24	6	5	24	5
R	1995	12	24	6	5	1996	1	2	6	0	215	55
Y	1996	1	2	6	0	1996	1	6	13	20	103	20
Y	1996	1	9	6	0	1996	1	11	7	10	49	10
Y	1996	1	14	6	0	1996	1	15	6	0	24	0
Y	1996	1	19	6	0	1996	1	19	18	0	12	0
Y	1996	1	20	6	40	1996	1	21	18	0	35	20
Y	1996	1	26	6	0	1996	1	30	6	0	96	0
Y	1996	1	31	6	0	1996	2	1	6	0	24	0
R	1996	2	1	6	0	1996	2	5	6	0	96	0
Y	1996	2	5	6	0	1996	2	6	6	0	24	0
R	1996	2	6	6	0	1996	2	6	13	45	7	45
Y	1996	2	9	6	0	1996	2	9	18	10	12	10
R	1996	2	9	18	10	1996	2	12	6	0	59	50
Y	1996	3	1	9	10	1996	3	2	6	0	20	50
R	1996	3	2	6	0	1996	3	3	6	0	24	0
Y	1996	3	3	6	0	1996	3	4	6	0	24	0
Y	1996	3	4	11	15	1996	3	6	8	0	44	45
Y	1996	4	7	0	0	1996	4	8	16	30	40	30
Y	1996	4	23	9	10	1996	4	24	4	30	19	20
Y	1996	5	18	12	30	1996	5	20	18	0	53	30
Y	1996	9	28	11	30	1996	9	29	6	0	18	30
R	1996	9	29	6	0	1996	9	30	16	30	34	30
Y	1996	10	12	6	30	1996	10	13	17	30	35	0
Y	1996	10	19	6	0	1996	10	20	16	40	34	40
R	1996	10	25	11	0	1996	10	27	18	0	55	0
Y	1996	11	2	6	45	1996	11	2	18	0	11	15
Y	1996	11	3	8	30	1996	11	3	18	0	9	30
Y	1996	11	9	6	0	1996	11	11	6	0	48	0
Y	1996	11	17	6	0	1996	11	17	17	20	11	20
R	1996	11	17	17	20	1996	11	22	6	0	108	40
R	1996	11	22	10	35	1996	11	23	6	0	19	25
Y	1996	11	23	6	0	1996	11	24	18	0	36	0
Y	1996	11	30	6	0	1996	12	1	5	45	23	45
R	1996	12	1	5	45	1996	12	2	6	0	24	15
R	1996	12	5	18	0	1996	12	9	17	30	95	30
R	1996	12	10	6	0	1996	12	12	6	0	48	0
R	1996	12	13	6	0	1996	12	14	6	0	24	0
Y	1996	12	14	6	0	1996	12	16	6	0	48	0
R	1996	12	18	0	0	1996	12	18	18	0	18	0
Y	1996	12	18	18	0	1996	12	21	6	0	60	0
R	1996	12	21	6	0	1996	12	22	6	0	24	0
Y	1996	12	22	6	0	1996	12	23	6	0	24	0
R	1996	12	23	6	0	1996	12	23	17	30	11	30
Y	1996	12	23	17	30	1996	12	24	6	0	12	30
R	1996	12	24	6	0	1996	12	24	17	30	11	30
Y	1996	12	24	17	30	1996	12	30	7	30	134	0
Y	1997	1	1	6	0	1997	1	2	6	15	24	15
R	1997	1	2	6	15	1997	1	2	12	20	6	5
Y	1997	1	5	6	0	1997	1	6	6	0	24	0
R	1997	1	6	6	0	1997	1	6	18	0	12	0
Y	1997	1	6	18	0	1997	1	8	6	0	36	0
R	1997	1	8	6	0	1997	1	8	17	30	11	30
Y	1997	1	8	17	30	1997	1	10	18	0	48	30
R	1997	1	10	18	0	1997	1	12	6	0	36	0
Y	1997	1	12	6	0	1997	1	14	6	0	48	0
Y	1997	1	19	6	0	1997	1	19	18	0	12	0
Y	1997	1	24	8	0	1997	1	24	16	15	8	15
Y	1997	1	24	6	5	1997	1	27	6	0	47	55
R	1997	1	27	6	0	1997	1	29	6	0	48	0
