startYear	startMonth	startDay	startHour	startMinute	endYear	endMonth	endDay	endHour	endMinute	durationHour	durationMinute
1983	4	8	11	2	1983	4	8	21	38	10	36
1983	6	17	7	45	1983	6	18	6	0	22	15
1983	9	9	7	40	1983	9	9	19	55	12	15
1983	10	13	16	35	1983	10	14	10	2	17	27
1984	5	30	7	0	1984	5	30	14	25	7	25
1984	6	16	4	3	1984	6	16	10	40	6	37
1984	10	11	1	40	1984	10	11	5	0	3	20
1985	6	25	3	10	1985	6	25	11	50	8	40
1985	8	27	12	40	1985	8	27	21	30	8	50
1985	9	6	3	40	1985	9	6	16	12	12	32
1986	5	11	21	10	1986	5	12	4	10	7	0
1986	6	6	9	40	1986	6	7	7	15	21	35
1986	7	4	8	35	1986	7	4	14	15	5	40
1986	7	12	7	0	1986	7	12	19	15	12	15
1986	8	10	22	0	1986	8	11	17	45	19	45
1987	4	6	16	30	1987	4	6	19	0	2	30
1987	5	22	14	20	1987	5	22	16	30	2	10
1987	7	30	4	45	1987	7	31	7	35	26	50
1988	7	19	4	15	1988	7	20	9	30	29	15
1989	5	2	12	17	1989	5	2	23	0	10	43
1989	5	20	15	5	1989	5	21	14	0	22	55
1989	7	18	22	45	1989	7	19	7	40	8	55
1990	6	1	16	10	1990	6	1	21	45	5	35
1990	6	30	15	20	1990	7	1	7	5	15	45
1990	9	11	7	15	1990	9	11	16	0	8	45
1991	10	15	21	45	1991	10	16	8	5	10	20
1992	5	8	6	20	1992	5	11	7	5	72	45
1992	6	13	14	0	1992	6	14	15	0	25	0
1992	7	18	10	15	1992	7	18	20	15	10	0
1993	6	11	15	15	1993	6	12	8	15	17	0
1993	6	16	12	0	1993	6	17	11	50	23	50
1993	9	25	14	50	1993	9	27	12	30	45	40
1993	11	5	5	50	1993	11	5	14	5	8	15
1994	6	20	0	5	1994	6	20	14	35	14	30
1994	7	22	3	0	1994	7	26	10	0	103	0
1994	8	6	19	0	1994	8	7	7	0	12	0
1994	8	16	9	45	1994	8	17	22	0	36	15
1995	7	13	10	55	1995	7	15	21	0	58	5
1995	8	3	11	30	1995	8	6	9	0	69	30
1995	8	12	8	0	1995	8	15	14	45	78	45
1995	8	31	18	0	1995	9	1	16	30	22	30
1995	10	3	4	0	1995	10	4	8	30	28	30
1995	10	5	22	0	1995	10	6	10	15	12	15
1996	6	22	23	15	1996	6	23	12	15	13	0
1996	9	14	17	0	1996	9	15	17	25	24	25
1997	5	8	11	6	1997	5	9	9	20	22	14
1997	6	4	7	40	1997	6	5	9	0	25	20
1997	6	13	17	45	1997	6	14	9	10	15	25
1997	6	17	5	20	1997	6	17	14	30	9	10
1997	7	1	7	38	1997	7	1	14	0	6	22
1997	7	2	6	25	1997	7	5	8	40	74	15
1997	8	2	22	25	1997	8	3	20	35	22	10
1997	8	22	13	15	1997	8	23	6	45	17	30
1998	6	9	4	52	1998	6	10	10	30	29	38
1999	8	22	21	45	1999	8	24	13	45	40	0
1999	8	25	3	50	1999	8	26	5	50	26	0
