startYear	startMonth	startDay	startHour	startMinute	endYear	endMonth	endDay	endHour	endMinute	durationHour	durationMinute
1998	4	26	21	40	1998	4	26	23	45	2	5
1998	5	2	18	10	1998	5	2	20	0	1	50
1998	5	24	6	30	1998	5	24	15	45	9	15
1998	6	9	3	45	1998	6	9	9	0	5	15
1998	6	9	14	35	1998	6	9	21	0	6	25
1998	6	23	15	30	1998	6	23	21	45	6	15
1999	8	22	16	50	1999	8	22	21	0	4	10
1999	8	23	3	25	1999	8	23	12	5	8	40
1999	8	24	4	40	1999	8	24	9	30	4	50
1999	8	25	13	35	1999	8	25	16	0	2	25
1999	9	16	9	35	1999	9	16	18	40	9	5
2000	4	2	23	10	2000	4	3	6	10	7	0
2000	4	14	4	35	2000	4	14	16	20	11	45
2000	4	23	1	35	2000	4	23	5	30	3	55
2000	7	18	5	35	2000	7	18	13	30	7	55
2000	8	24	1	5	2000	8	24	5	55	4	50
2000	8	24	15	30	2000	8	24	19	20	3	50
2000	8	27	15	15	2000	8	27	17	45	2	30
2001	4	9	17	50	2001	4	9	19	5	1	15
2001	5	21	18	15	2001	5	21	21	0	2	45
2001	6	7	4	20	2001	6	7	15	35	11	15
2001	6	9	4	25	2001	6	9	13	30	9	5
2001	6	10	8	5	2001	6	10	13	30	5	25
2001	6	12	3	55	2001	6	12	6	20	2	25
2001	6	23	20	35	2001	6	24	5	45	9	10
2001	6	27	14	0	2001	6	27	19	55	5	55
2001	8	2	20	30	2001	8	2	21	45	1	15
2001	9	1	22	50	2001	9	2	3	16	4	26
2002	5	20	21	30	2002	5	21	1	10	3	40
2002	7	3	13	15	2002	7	3	13	55	0	40
2002	8	9	7	30	2002	8	9	10	45	3	15
2003	5	5	2	45	2003	5	5	11	50	9	5
2003	6	10	23	35	2003	6	11	6	0	6	25
2003	9	2	21	8	2003	9	2	22	30	1	22
2004	7	29	3	30	2004	7	29	5	0	1	30
2004	8	11	14	30	2004	8	11	16	5	1	35
2004	8	29	14	45	2004	8	29	15	50	1	5
2004	9	9	9	16	2004	9	9	11	30	2	14
2005	5	8	10	10	2005	5	8	12	10	2	0
2005	6	15	11	7	2005	6	15	13	10	2	3
2005	6	15	15	15	2005	6	15	23	15	8	0
2005	6	18	3	35	2005	6	18	7	8	3	33
2005	6	24	6	20	2005	6	24	13	0	6	40
2005	8	13	11	55	2005	8	13	13	0	1	5
2005	8	20	9	15	2005	8	20	21	10	11	55
2005	9	8	15	40	2005	9	8	16	30	0	50
2006	4	28	6	35	2006	4	28	9	0	2	25
2006	5	2	22	45	2006	5	3	6	45	8	0
2006	6	9	10	40	2006	6	9	16	0	5	20
2007	6	10	3	15	2007	6	10	8	15	5	0
2008	4	19	18	54	2008	4	20	1	30	6	36
2008	6	25	6	35	2008	6	25	12	50	6	15
2008	7	10	6	0	2008	7	10	13	40	7	40
2009	6	4	0	50	2009	6	4	3	0	2	10
2009	7	19	2	40	2009	7	19	7	0	4	20
2009	8	11	6	40	2009	8	11	8	15	1	35
2009	9	15	3	55	2009	9	15	10	15	6	20
2010	7	22	17	40	2010	7	23	1	0	7	20
