code	startYear	startMonth	startDay	startHour	startMinute	endYear	endMonth	endDay	endHour	endMinute	durationHour	durationMinute
A	1998	4	12	5	15	1998	4	12	8	0	2	45
A	1998	4	26	21	15	1998	4	26	21	50	0	35
R	1998	4	26	21	50	1998	4	27	4	0	6	10
A	1998	4	27	4	0	1998	4	27	5	45	1	45
A	1998	5	2	16	20	1998	5	2	17	50	1	30
R	1998	5	2	17	50	1998	5	2	20	0	2	10
A	1998	5	15	8	40	1998	5	15	13	10	4	30
A	1998	5	24	8	15	1998	5	24	12	45	4	30
R	1998	5	24	12	45	1998	5	24	15	45	3	0
A	1998	6	4	5	0	1998	6	4	8	15	3	15
A	1998	6	4	19	0	1998	6	4	22	15	3	15
A	1998	6	9	2	45	1998	6	9	4	40	1	55
R	1998	6	9	4	40	1998	6	9	6	35	1	55
B	1998	6	9	6	35	1998	6	9	9	50	3	15
R	1998	6	9	9	50	1998	6	9	21	0	11	10
A	1998	6	10	4	0	1998	6	10	11	30	7	30
A	1998	6	11	5	25	1998	6	11	8	20	2	55
A	1998	6	23	14	50	1998	6	23	19	50	5	0
A	1998	7	2	16	0	1998	7	2	18	20	2	20
A	1998	7	3	10	0	1998	7	3	15	0	5	0
A	1998	7	4	8	0	1998	7	4	11	15	3	15
A	1998	7	4	17	40	1998	7	4	20	45	3	5
A	1998	7	13	4	25	1998	7	13	6	45	2	20
A	1998	8	7	5	40	1998	8	7	8	30	2	50
A	1998	8	28	15	10	1998	8	28	17	20	2	10
A	1998	8	30	22	20	1998	8	31	6	45	8	25
A	1998	9	1	11	45	1998	9	1	13	30	1	45
A	1998	9	6	15	45	1998	9	6	17	45	2	0
A	1999	4	12	1	15	1999	4	12	8	0	6	45
A	1999	5	19	4	40	1999	5	19	13	45	9	5
A	1999	6	7	3	20	1999	6	7	10	35	7	15
A	1999	6	17	8	40	1999	6	17	10	30	1	50
A	1999	6	20	11	20	1999	6	20	13	50	2	30
A	1999	6	21	9	0	1999	6	21	10	40	1	40
A	1999	7	8	10	30	1999	7	8	11	45	1	15
A	1999	7	9	11	20	1999	7	9	13	45	2	25
A	1999	8	4	7	35	1999	8	4	9	40	2	5
A	1999	8	5	18	25	1999	8	5	21	30	3	5
A	1999	8	10	5	0	1999	8	10	7	0	2	0
A	1999	8	11	17	35	1999	8	11	19	25	1	50
A	1999	8	22	13	55	1999	8	23	5	25	15	30
R	1999	8	23	5	25	1999	8	23	6	13	0	48
B	1999	8	23	6	13	1999	8	23	12	0	5	47
