id	category	name	code	direction	startTime	startDay	startMonth	startYear	startSorx	endTime	endDay	endMonth	endYear	endSorx	duration
194601	T	NIL	1	X	1610	16	7	1946	S	1215	17	7	1946	S	2005
194601	T	NIL	8	NE	1215	17	7	1946	S	1130	18	7	1946	S	2315
194601	T	NIL	9	X	1130	18	7	1946	S	1515	18	7	1946	S	345
194601	T	NIL	10	X	1515	18	7	1946	S	2000	18	7	1946	S	445
194601	T	NIL	8	SE	2000	18	7	1946	S	2200	18	7	1946	S	200
194602	T	NIL	1	X	100	29	8	1946	S	1240	29	8	1946	S	1140
194603	T	NIL	1	X	1730	6	9	1946	S	700	7	9	1946	S	1330
194603	T	NIL	8	SE	700	7	9	1946	S	1140	7	9	1946	S	440
194604	T	NIL	1	X	920	11	9	1946	S	1405	12	9	1946	S	2845
194605	T	NIL	1	X	1235	25	9	1946	S	540	26	9	1946	S	1705
194606	T	NIL	1	X	940	13	10	1946	S	1815	13	10	1946	S	835
194606	T	NIL	8	NW	1815	13	10	1946	S	600	14	10	1946	S	1145
194606	T	NIL	1	X	600	14	10	1946	S	1020	14	10	1946	S	420
194701	T	CAROL	1	X	2020	21	6	1947	S	740	22	6	1947	S	1120
194702	TD	NIL	1	X	1535	18	7	1947	S	1030	19	7	1947	S	1855
194703	T	INEZ	1	X	945	29	8	1947	S	830	30	8	1947	S	2245
194704	T	MILDRED	1	X	410	25	9	1947	S	1140	25	9	1947	S	730
194705	T	NIL	1	X	710	2	10	1947	S	1020	3	10	1947	S	2710
194706	T	PAULINE	1	X	1630	6	10	1947	S	15	7	10	1947	S	745
194706	T	PAULINE	8	NE	15	7	10	1947	S	1600	7	10	1947	S	1545
194706	T	PAULINE	8	NW	1600	7	10	1947	S	500	8	10	1947	S	1300
194801	TST	NIL	1	X	1545	22	7	1948	S	2240	22	7	1948	S	655
194801	TST	NIL	8	NE	2240	22	7	1948	S	600	23	7	1948	S	720
194801	TST	NIL	1	X	600	23	7	1948	S	1215	23	7	1948	S	615
194802	T	ROSE	1	X	450	27	7	1948	S	900	27	7	1948	S	410
194802	T	ROSE	8	NE	900	27	7	1948	S	1520	27	7	1948	S	620
194802	T	ROSE	8	NW	1520	27	7	1948	S	1820	27	7	1948	S	300
194802	T	ROSE	8	SW	1820	27	7	1948	S	530	28	7	1948	S	1110
194803	TST	NIL	1	X	1520	2	9	1948	S	2220	2	9	1948	S	700
194803	TST	NIL	8	NE	2220	2	9	1948	S	500	3	9	1948	S	640
194803	TST	NIL	8	SE	500	3	9	1948	S	1620	3	9	1948	S	1120
194804	T	KIT	1	X	1215	25	9	1948	S	1215	26	9	1948	S	2400
194804	T	KIT	8	SE	1215	26	9	1948	S	535	27	9	1948	S	1720
194901	T	IRMA	1	X	1330	27	7	1949	S	730	28	7	1949	S	1800
194902	T	NIL	1	X	1230	7	9	1949	S	1940	7	9	1949	S	710
194902	T	NIL	8	NE	1940	7	9	1949	S	145	8	9	1949	S	605
194902	T	NIL	9	X	145	8	9	1949	S	510	8	9	1949	S	325
194902	T	NIL	8	SE	510	8	9	1949	S	900	8	9	1949	S	350
194903	T	NIL	1	X	1520	3	10	1949	S	1225	4	10	1949	S	2105
194904	T	NIL	1	X	400	22	10	1949	S	1130	22	10	1949	S	730
195001	TS	NIL	3	*	2345	28	6	1950	S	1130	29	6	1950	S	1145
195002	TD	NIL	1	X	1215	26	7	1950	S	1110	27	7	1950	S	2255
195003	TD	NIL	3	*	1000	30	9	1950	S	950	1	10	1950	S	2350
195004	T	OSSIA	1	X	1600	2	10	1950	S	2400	3	10	1950	S	3200
195004	T	OSSIA	8	NE	0	4	10	1950	S	700	5	10	1950	S	3100
195004	T	OSSIA	9	X	700	5	10	1950	S	1300	5	10	1950	S	600
195004	T	OSSIA	8	SE	1300	5	10	1950	S	2315	5	10	1950	S	1015
195005	TS	NIL	3	*	1440	24	11	1950	X	640	25	11	1950	X	1600
195101	TS	NIL	3	*	1100	12	5	1951	S	1040	13	5	1951	S	2340
195101	TS	NIL	8	SE	1040	13	5	1951	S	1715	13	5	1951	S	635
195102	TS	NIL	3	*	2245	18	6	1951	S	1605	19	6	1951	S	1720
195102	TS	NIL	8	SE	1605	19	6	1951	S	2300	19	6	1951	S	655
195103	TSupT	LOUISE	1	X	1000	31	7	1951	S	2400	31	7	1951	S	1400
195103	TSupT	LOUISE	8	NE	0	1	8	1951	S	1745	1	8	1951	S	1745
195103	TSupT	LOUISE	9	X	1745	1	8	1951	S	2315	1	8	1951	S	530
195103	TSupT	LOUISE	8	SE	2315	1	8	1951	S	810	2	8	1951	S	855
195104	TD	NIL	3	*	120	17	8	1951	S	1020	17	8	1951	S	900
195105	T	NIL	1	X	700	2	9	1951	S	2105	2	9	1951	S	1405
195106	TST	ORA	1	X	1700	19	9	1951	S	1000	21	9	1951	S	4100
195107	T	PAT	1	X	1130	25	9	1951	S	1730	25	9	1951	S	600
195107	T	PAT	8	NE	1730	25	9	1951	S	530	26	9	1951	S	1200
0	MSN	X	0	N	2100	4	12	1951	X	2015	5	12	1951	X	2315
0	MSN	X	0	ENE	840	27	12	1951	X	1630	27	12	1951	X	750
195201	TS	CHARLOTTE	3	*	1605	10	6	1952	S	1410	11	6	1952	S	2205
195201	TS	CHARLOTTE	8	NE	1410	11	6	1952	S	720	12	6	1952	S	1710
195201	TS	CHARLOTTE	8	SE	720	12	6	1952	S	1100	12	6	1952	S	340
195202	TST	EMMA	1	X	530	5	7	1952	S	1000	6	7	1952	S	2830
195203	T	HARRIET	3	*	330	30	7	1952	S	900	30	7	1952	S	530
195204	TD	NIL	3	*	600	11	8	1952	S	2245	11	8	1952	S	1645
195205	TD	NIL	3	*	1840	19	8	1952	S	2330	19	8	1952	S	450
195206	T	LOIS	3	*	2200	26	8	1952	S	1115	28	8	1952	S	3715
195207	T	NONA	1	X	920	5	9	1952	S	945	6	9	1952	S	2425
195208	TS	NIL	3	*	615	13	9	1952	S	1500	14	9	1952	S	3245
195209	TD	NIL	3	*	1000	17	9	1952	S	545	18	9	1952	S	1945
195301	TD	NIL	3	*	230	29	6	1953	S	705	1	7	1953	S	5235
195302	T	OPHELIA	1	X	1515	12	8	1953	S	15	13	8	1953	S	900
195302	T	OPHELIA	8	NE	15	13	8	1953	S	550	14	8	1953	S	2935
195303	TSupT	RITA	3	*	1530	1	9	1953	S	230	2	9	1953	S	1100
195303	TSupT	RITA	8	NW	230	2	9	1953	S	810	2	9	1953	S	540
195303	TSupT	RITA	8	SW	810	2	9	1953	S	1220	2	9	1953	S	410
195304	TST	SUSAN	1	X	1240	16	9	1953	S	650	17	9	1953	S	1810
195304	TST	SUSAN	8	NE	650	17	9	1953	S	1500	18	9	1953	S	3210
195304	TST	SUSAN	9	X	1500	18	9	1953	S	2110	18	9	1953	S	610
195304	TST	SUSAN	8	SE	2110	18	9	1953	S	800	19	9	1953	S	1050
195305	TS	NIL	3	*	1815	26	9	1953	S	550	28	9	1953	S	3535
195306	TST	BETTY	3	*	1040	31	10	1953	S	2155	1	11	1953	X	3615
0	MSN	X	0	ENE	1030	11	11	1953	X	940	12	11	1953	X	2310
