code,start,end
COLD,1999-12-19T03:10:00,1999-12-25T11:30:00
COLD,1999-12-25T23:15:00,1999-12-26T09:45:00
COLD,2000-01-17T16:30:00,2000-01-20T11:45:00
COLD,2000-01-25T04:45:00,2000-01-29T11:30:00
COLD,2000-01-29T22:45:00,2000-02-02T16:30:00
COLD,2000-02-07T16:40:00,2000-02-08T11:50:00
COLD,2000-02-24T16:30:00,2000-03-02T11:30:00
COLD,2000-12-13T04:30:00,2000-12-14T09:45:00
COLD,2000-12-21T16:30:00,2000-12-23T09:45:00
COLD,2001-01-09T23:15:00,2001-01-10T09:45:00
COLD,2001-01-15T16:45:00,2001-01-16T09:50:00
COLD,2001-01-26T10:45:00,2001-01-29T16:10:00
COLD,2001-02-13T16:30:00,2001-02-15T09:45:00
COLD,2001-12-13T16:30:00,2001-12-15T07:50:00
COLD,2001-12-21T16:30:00,2001-12-26T11:00:00
COLD,2001-12-28T16:30:00,2001-12-29T11:45:00
COLD,2002-01-20T16:30:00,2002-01-22T16:30:00
COLD,2002-01-26T16:30:00,2002-01-29T16:30:00
COLD,2002-02-01T16:30:00,2002-02-03T07:30:00
COLD,2002-12-08T16:30:00,2002-12-10T08:30:00
COLD,2002-12-25T16:30:00,2002-12-29T08:45:00
COLD,2003-01-02T16:30:00,2003-01-04T12:00:00
COLD,2003-01-05T16:30:00,2003-01-08T11:30:00
COLD,2003-01-08T23:15:00,2003-01-10T07:30:00
COLD,2003-01-10T16:30:00,2003-01-11T07:50:00
COLD,2003-01-27T16:30:00,2003-01-28T10:30:00
COLD,2003-03-06T22:25:00,2003-03-07T11:55:00
COLD,2003-12-18T16:30:00,2003-12-21T11:30:00
COLD,2004-01-12T23:45:00,2004-01-13T10:25:00
COLD,2004-01-18T23:15:00,2004-01-27T12:00:00
COLD,2004-01-27T23:15:00,2004-01-29T07:45:00
COLD,2004-02-03T11:45:00,2004-02-10T11:45:00
COLD,2004-03-03T16:30:00,2004-03-04T09:00:00
COLD,2004-12-28T13:15:00,2005-01-02T16:30:00
COLD,2005-01-02T23:55:00,2005-01-03T11:30:00
COLD,2005-01-12T16:30:00,2005-01-17T11:30:00
COLD,2005-01-30T23:25:00,2005-02-03T16:15:00
COLD,2005-02-18T08:00:00,2005-02-23T06:00:00
COLD,2005-02-26T23:25:00,2005-03-01T11:45:00
COLD,2005-03-02T16:30:00,2005-03-07T09:45:00
COLD,2005-03-12T06:00:00,2005-03-15T09:00:00
COLD,2005-12-05T16:00:00,2005-12-07T11:45:00
COLD,2005-12-14T16:00:00,2005-12-16T11:30:00
COLD,2005-12-17T16:30:00,2005-12-19T11:30:00
COLD,2005-12-21T16:00:00,2005-12-23T11:30:00
COLD,2006-01-05T16:20:00,2006-01-09T16:45:00
COLD,2006-01-20T16:20:00,2006-01-24T23:15:00
COLD,2006-02-28T07:30:00,2006-03-03T09:30:00
COLD,2006-03-12T16:15:00,2006-03-14T16:10:00
COLD,2006-12-16T16:20:00,2006-12-18T10:45:00
COLD,2007-01-05T16:20:00,2007-01-09T10:45:00
COLD,2007-01-26T16:20:00,2007-01-30T10:45:00
COLD,2007-03-07T04:00:00,2007-03-08T09:45:00
COLD,2007-04-03T21:30:00,2007-04-04T11:45:00
COLD,2007-12-30T16:20:00,2008-01-04T09:45:00
COLD,2008-01-13T16:20:00,2008-01-14T09:50:00
COLD,2008-01-15T16:20:00,2008-01-18T10:20:00
COLD,2008-01-24T15:00:00,2008-02-18T09:30:00
COLD,2008-02-26T16:20:00,2008-02-28T11:30:00
COLD,2008-11-28T16:20:00,2008-11-29T08:45:00
COLD,2008-12-05T16:20:00,2008-12-06T08:00:00
COLD,2008-12-22T16:20:00,2008-12-24T06:00:00
COLD,2008-12-30T16:20:00,2009-01-03T10:45:00
COLD,2009-01-08T16:20:00,2009-01-16T09:45:00
COLD,2009-01-23T16:30:00,2009-01-28T11:00:00
COLD,2009-11-16T16:20:00,2009-11-19T11:30:00
COLD,2009-11-20T16:15:00,2009-11-21T11:45:00
COLD,2009-12-15T16:20:00,2009-12-21T11:40:00
COLD,2009-12-27T16:20:00,2009-12-29T06:00:00
COLD,2010-01-06T16:20:00,2010-01-08T12:00:00
COLD,2010-01-11T11:45:00,2010-01-14T09:20:00
COLD,2010-02-12T16:20:00,2010-02-13T16:20:00
COLD,2010-02-14T16:20:00,2010-02-20T12:00:00
COLD,2010-03-08T16:20:00,2010-03-11T11:25:00
COLD,2010-12-15T16:20:00,2010-12-18T10:00:00
COLD,2010-12-25T14:30:00,2010-12-28T09:30:00
COLD,2010-12-30T16:20:00,2011-01-02T07:45:00
COLD,2011-01-03T16:20:00,2011-01-14T06:00:00
COLD,2011-01-14T16:20:00,2011-01-25T11:45:00
COLD,2011-01-28T16:20:00,2011-02-03T09:45:00
COLD,2011-02-11T16:20:00,2011-02-16T16:20:00
COLD,2011-02-19T11:45:00,2011-02-21T07:45:00
COLD,2011-03-15T16:30:00,2011-03-16T12:15:00
COLD,2011-12-03T01:20:00,2011-12-03T10:15:00
COLD,2011-12-09T16:20:00,2011-12-12T10:45:00
COLD,2011-12-23T16:20:00,2011-12-26T07:45:00
COLD,2012-01-03T16:20:00,2012-01-07T11:00:00
COLD,2012-01-21T16:20:00,2012-01-27T12:00:00
COLD,2012-01-30T16:20:00,2012-01-31T08:45:00
COLD,2012-02-07T16:20:00,2012-02-11T15:10:00
COLD,2012-02-16T16:20:00,2012-02-20T08:00:00
COLD,2012-02-26T07:45:00,2012-02-28T16:20:00
COLD,2012-03-09T19:45:00,2012-03-13T11:45:00
COLD,2012-12-18T16:20:00,2012-12-19T10:45:00
COLD,2012-12-22T16:20:00,2012-12-25T07:45:00
COLD,2012-12-29T16:20:00,2013-01-01T14:20:00
COLD,2013-01-03T16:20:00,2013-01-06T11:45:00
COLD,2013-01-17T16:20:00,2013-01-18T10:00:00
COLD,2013-02-08T16:20:00,2013-02-10T09:45:00
COLD,2013-11-28T16:20:00,2013-11-29T11:45:00
COLD,2013-12-16T07:45:00,2013-12-25T10:15:00
COLD,2013-12-26T16:20:00,2014-01-01T10:00:00
COLD,2014-01-13T16:20:00,2014-01-16T10:30:00
COLD,2014-01-17T16:20:00,2014-01-19T10:30:00
COLD,2014-01-20T16:20:00,2014-01-23T10:40:00
COLD,2014-02-09T07:45:00,2014-02-16T10:15:00
COLD,2014-02-18T11:45:00,2014-02-21T11:30:00
COLD,2014-12-03T16:20:00,2014-12-05T11:45:00
